Frame Number,Time Stamp (ms),Buffer Index
1539,25660,0
1540,25677,0
1541,25694,0
1542,25710,0
1543,25727,0
1544,25744,0
1545,25761,0
1546,25777,0
1547,25794,0
1548,25810,0
1549,25827,0
1550,25844,0
1551,25861,0
1552,25877,0
1553,25894,0
1554,25911,0
1555,25927,0
1556,25944,0
1557,25961,0
1558,25977,0
1559,25994,0
1560,26011,0
1561,26027,0
1562,26044,0
1563,26061,0
1564,26078,0
1565,26094,0
1566,26111,0
1567,26128,0
1568,26144,0
1569,26161,0
1570,26178,0
1571,26195,0
1572,26211,0
1573,26227,0
1574,26244,0
1575,26261,0
1576,26277,0
1577,26294,0
1578,26311,0
1579,26327,0
1580,26344,0
1581,26361,0
1582,26377,0
1583,26394,0
1584,26411,0
1585,26427,0
1586,26444,0
1587,26461,0
1588,26478,0
1589,26495,0
1590,26511,0
1591,26527,0
1592,26545,0
1593,26561,0
1594,26577,0
1595,26594,0
1596,26611,0
1597,26627,0
1598,26644,0
1599,26661,0
1600,26677,0
1601,26694,0
1602,26711,0
1603,26728,0
1604,26745,0
1605,26762,0
1606,26778,0
1607,26794,0
1608,26812,0
1609,26828,0
1610,26845,0
1611,26861,0
1612,26878,0
1613,26895,0
1614,26912,0
1615,26928,0
1616,26945,0
1617,26962,0
1618,26978,0
1619,26995,0
1620,27011,0
1621,27028,0
1622,27045,0
1623,27061,0
1624,27078,0
1625,27095,0
1626,27111,0
1627,27128,0
1628,27145,0
1629,27161,0
1630,27178,0
1631,27195,0
1632,27212,0
1633,27229,0
1634,27245,0
1635,27262,0
1636,27279,0
1637,27295,0
1638,27312,0
1639,27329,0
1640,27345,0
1641,27362,0
1642,27378,0
1643,27395,0
1644,27412,0
1645,27429,0
1646,27445,0
1647,27462,0
1648,27479,0
1649,27496,0
1650,27513,0
1651,27530,0
1652,27545,0
1653,27562,0
1654,27579,0
1655,27596,0
1656,27612,0
1657,27629,0
1658,27645,0
1659,27662,0
1660,27679,0
1661,27695,0
1662,27712,0
1663,27729,0
1664,27745,0
1665,27762,0
1666,27779,0
1667,27796,0
1668,27812,0
1669,27829,0
1670,27846,0
1671,27862,0
1672,27879,0
1673,27896,0
1674,27912,0
1675,27929,0
1676,27946,0
1677,27963,0
1678,27979,0
1679,27996,0
1680,28013,0
1681,28029,0
1682,28046,0
1683,28063,0
1684,28079,0
1685,28096,0
1686,28113,0
1687,28129,0
1688,28146,0
1689,28163,0
1690,28179,0
1691,28196,0
1692,28213,0
1693,28230,0
1694,28246,0
1695,28263,0
1696,28279,0
1697,28296,0
1698,28312,0
1699,28329,0
1700,28346,0
1701,28363,0
1702,28379,0
1703,28396,0
1704,28413,0
1705,28429,0
1706,28446,0
1707,28463,0
1708,28479,0
1709,28496,0
1710,28513,0
1711,28529,0
1712,28546,0
1713,28563,0
1714,28579,0
1715,28596,0
1716,28613,0
1717,28630,0
1718,28646,0
1719,28663,0
1720,28680,0
1721,28696,0
1722,28713,0
1723,28730,0
1724,28746,0
1725,28763,0
1726,28780,0
1727,28796,0
1728,28813,0
1729,28830,0
1730,28846,0
1731,28863,0
1732,28880,0
1733,28897,0
1734,28913,0
1735,28930,0
1736,28947,0
1737,28963,0
1738,28980,0
1739,28997,0
1740,29014,0
1741,29030,0
1742,29047,0
1743,29063,0
1744,29080,0
1745,29097,0
1746,29114,0
1747,29130,0
1748,29147,0
1749,29164,0
1750,29180,0
1751,29197,0
1752,29214,0
1753,29230,0
1754,29247,0
1755,29264,0
1756,29281,0
1757,29297,0
1758,29314,0
1759,29331,0
1760,29347,0
1761,29364,0
1762,29381,0
1763,29397,0
1764,29414,0
1765,29431,0
1766,29447,0
1767,29464,0
1768,29481,0
1769,29498,0
1770,29514,0
1771,29531,0
1772,29548,0
1773,29564,0
1774,29581,0
1775,29598,0
1776,29614,0
1777,29631,0
1778,29647,0
1779,29664,0
1780,29681,0
1781,29698,0
1782,29714,0
1783,29731,0
1784,29747,0
1785,29764,0
1786,29781,0
1787,29797,0
1788,29814,0
1789,29831,0
1790,29847,0
1791,29864,0
1792,29881,0
1793,29897,0
1794,29914,0
1795,29931,0
1796,29947,0
1797,29964,0
1798,29981,0
1799,29998,0
1800,30015,0
1801,30031,0
1802,30048,0
1803,30065,0
1804,30081,0
1805,30098,0
1806,30115,0
1807,30131,0
1808,30149,0
1809,30165,0
1810,30182,0
1811,30198,0
1812,30215,0
1813,30231,0
1814,30248,0
